               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.025017,           0.0071968,           0.0016105,             0.97013,                   1,               0.995,              0.8955,            0.012276,           0.0025911,          0.00065603,            0.007624,            0.007624,            0.007624
                  38,            0.025009,           0.0068702,           0.0016774,             0.96807,                   1,               0.995,              0.6965,            0.017101,            0.002655,          0.00095055,            0.007558,            0.007558,            0.007558
                  39,             0.02477,           0.0071861,           0.0015858,                   1,                   1,               0.995,              0.8955,           0.0082575,           0.0020732,          0.00088296,            0.007492,            0.007492,            0.007492
                  40,            0.023862,           0.0071382,            0.001582,              0.9692,                   1,               0.995,               0.796,            0.011815,           0.0031259,          0.00073256,            0.007426,            0.007426,            0.007426
                  41,              0.0243,            0.007184,           0.0017168,             0.97002,                   1,               0.995,              0.6965,            0.016094,           0.0045796,          0.00056075,             0.00736,             0.00736,             0.00736
                  42,            0.023475,           0.0071703,           0.0012881,             0.97043,                   1,               0.995,              0.6965,            0.015729,           0.0054623,          0.00066942,            0.007294,            0.007294,            0.007294
                  43,            0.023335,           0.0071806,           0.0014563,             0.97011,                   1,               0.995,              0.8955,            0.014007,           0.0028182,          0.00047388,            0.007228,            0.007228,            0.007228
                  44,            0.022517,           0.0070752,           0.0015196,             0.97023,                   1,               0.995,               0.796,            0.014238,           0.0028323,           0.0004598,            0.007162,            0.007162,            0.007162
                  45,            0.022516,           0.0068343,           0.0017825,             0.97034,                   1,               0.995,               0.796,            0.014202,           0.0040277,          0.00036212,            0.007096,            0.007096,            0.007096
                  46,            0.022678,            0.007036,           0.0015367,              0.9713,                   1,               0.995,              0.8955,            0.010508,           0.0030718,          0.00058912,             0.00703,             0.00703,             0.00703
                  47,            0.022665,           0.0072242,           0.0018433,              0.9711,                   1,               0.995,               0.796,            0.012903,           0.0030636,          0.00046676,            0.006964,            0.006964,            0.006964
                  48,            0.023849,           0.0069099,           0.0015047,             0.97065,                   1,               0.995,              0.8955,            0.013135,           0.0038989,          0.00041161,            0.006898,            0.006898,            0.006898
                  49,            0.020868,           0.0066082,           0.0013765,             0.97082,                   1,               0.995,               0.995,            0.010734,           0.0025782,          0.00050507,            0.006832,            0.006832,            0.006832
                  50,            0.021207,           0.0065841,           0.0014049,             0.96977,                   1,               0.995,               0.597,            0.017563,           0.0030955,          0.00045536,            0.006766,            0.006766,            0.006766
                  51,            0.022508,           0.0065752,           0.0015378,             0.96926,                   1,               0.995,               0.796,            0.010286,           0.0024416,          0.00050514,              0.0067,              0.0067,              0.0067
                  52,            0.021347,            0.006595,            0.001606,             0.97058,                   1,               0.995,              0.8955,           0.0090973,           0.0021632,          0.00050567,            0.006634,            0.006634,            0.006634
                  53,            0.021454,           0.0063018,           0.0013165,             0.97053,                   1,               0.995,               0.995,           0.0091751,           0.0023826,          0.00037049,            0.006568,            0.006568,            0.006568
                  54,            0.021205,           0.0066825,           0.0012498,             0.97179,                   1,               0.995,               0.796,            0.011279,           0.0029861,          0.00042915,            0.006502,            0.006502,            0.006502
                  55,            0.021524,           0.0065909,           0.0013867,             0.97047,                   1,               0.995,               0.796,            0.013273,           0.0027944,          0.00043947,            0.006436,            0.006436,            0.006436
                  56,            0.021172,            0.006281,           0.0015689,              0.9708,                   1,               0.995,              0.8955,            0.011974,           0.0026511,          0.00078292,             0.00637,             0.00637,             0.00637
                  57,            0.021834,           0.0069342,           0.0013985,             0.97157,                   1,               0.995,              0.8955,            0.010709,           0.0030501,          0.00059207,            0.006304,            0.006304,            0.006304
                  58,            0.020028,           0.0065679,           0.0012189,             0.97106,                   1,               0.995,               0.796,            0.014207,           0.0032064,          0.00031923,            0.006238,            0.006238,            0.006238
                  59,            0.020421,           0.0061364,           0.0014548,             0.97113,                   1,               0.995,               0.796,            0.011704,            0.003432,          0.00034955,            0.006172,            0.006172,            0.006172
                  60,            0.019845,           0.0061946,           0.0012879,              0.9707,                   1,               0.995,               0.796,            0.012044,           0.0036825,          0.00036466,            0.006106,            0.006106,            0.006106
                  61,            0.018509,           0.0060543,           0.0011315,             0.97126,                   1,               0.995,               0.796,             0.01627,           0.0037336,          0.00037735,             0.00604,             0.00604,             0.00604
                  62,             0.01988,           0.0059991,           0.0010844,             0.97073,                   1,               0.995,              0.8955,            0.010651,           0.0030428,          0.00053375,            0.005974,            0.005974,            0.005974
                  63,            0.020056,           0.0063606,           0.0011092,             0.97052,                   1,               0.995,               0.796,            0.012067,           0.0035505,          0.00042561,            0.005908,            0.005908,            0.005908
                  64,            0.019971,           0.0063001,           0.0011844,              0.9722,                   1,               0.995,               0.796,              0.0112,           0.0027833,          0.00036457,            0.005842,            0.005842,            0.005842
                  65,            0.019528,           0.0061807,           0.0011568,             0.97059,                   1,               0.995,              0.8955,            0.010666,           0.0028136,          0.00043812,            0.005776,            0.005776,            0.005776
                  66,            0.019257,           0.0063412,           0.0010258,             0.97134,                   1,               0.995,              0.8955,            0.011907,           0.0026324,          0.00046806,             0.00571,             0.00571,             0.00571
                  67,            0.019036,            0.005936,           0.0010719,             0.97238,                   1,               0.995,              0.6965,            0.015225,           0.0042748,          0.00040541,            0.005644,            0.005644,            0.005644
                  68,            0.019216,           0.0062304,           0.0011578,             0.97262,                   1,               0.995,              0.6965,            0.014216,           0.0048111,          0.00037375,            0.005578,            0.005578,            0.005578
                  69,            0.019084,           0.0061813,           0.0010523,             0.97237,                   1,               0.995,               0.796,            0.012233,           0.0035902,          0.00044053,            0.005512,            0.005512,            0.005512
                  70,            0.018764,           0.0060284,            0.001289,             0.97183,                   1,               0.995,               0.796,            0.010958,           0.0027312,          0.00042747,            0.005446,            0.005446,            0.005446
                  71,             0.01869,           0.0058894,           0.0010308,             0.97191,                   1,               0.995,               0.796,             0.01172,           0.0026584,          0.00039913,             0.00538,             0.00538,             0.00538
                  72,            0.017938,           0.0060499,           0.0010783,             0.97157,                   1,               0.995,               0.796,            0.011894,           0.0025807,          0.00047548,            0.005314,            0.005314,            0.005314
                  73,            0.018863,           0.0061094,          0.00099217,             0.97161,                   1,               0.995,               0.796,            0.011795,           0.0027669,          0.00044491,            0.005248,            0.005248,            0.005248
                  74,            0.017573,           0.0060799,           0.0010757,             0.97191,                   1,               0.995,              0.8955,            0.010785,            0.002958,          0.00042495,            0.005182,            0.005182,            0.005182
                  75,            0.017711,           0.0057329,           0.0011805,             0.97244,                   1,               0.995,              0.8955,           0.0095823,           0.0023266,          0.00039379,            0.005116,            0.005116,            0.005116
                  76,            0.017971,           0.0059999,           0.0011271,             0.97206,                   1,               0.995,               0.796,            0.013614,           0.0040104,          0.00037696,             0.00505,             0.00505,             0.00505
                  77,            0.018877,           0.0061677,           0.0010958,             0.97157,                   1,               0.995,              0.8955,            0.011075,           0.0028549,          0.00053322,            0.004984,            0.004984,            0.004984
                  78,            0.016876,           0.0055417,            0.001049,             0.97137,                   1,               0.995,               0.796,            0.010514,           0.0028505,          0.00072542,            0.004918,            0.004918,            0.004918
                  79,              0.0194,           0.0064054,           0.0010298,             0.97168,                   1,               0.995,               0.796,            0.013973,           0.0034278,          0.00051129,            0.004852,            0.004852,            0.004852
                  80,            0.017903,           0.0061399,          0.00095842,              0.9719,                   1,               0.995,               0.796,            0.011588,           0.0027943,          0.00034276,            0.004786,            0.004786,            0.004786
                  81,            0.017642,           0.0058325,           0.0009699,             0.97158,                   1,               0.995,               0.796,            0.013753,            0.003376,          0.00031094,             0.00472,             0.00472,             0.00472
                  82,            0.017206,           0.0057485,           0.0007854,             0.97156,                   1,               0.995,               0.796,             0.01242,           0.0034746,          0.00033571,            0.004654,            0.004654,            0.004654
                  83,            0.017314,           0.0059931,          0.00087393,             0.97161,                   1,               0.995,              0.6965,             0.01396,           0.0033434,          0.00039401,            0.004588,            0.004588,            0.004588
                  84,            0.016647,           0.0058093,          0.00086347,             0.97227,                   1,               0.995,               0.796,            0.014256,            0.003112,          0.00047222,            0.004522,            0.004522,            0.004522
                  85,            0.016358,           0.0060586,          0.00091382,             0.97204,                   1,               0.995,               0.796,            0.011597,           0.0028486,          0.00045123,            0.004456,            0.004456,            0.004456
                  86,            0.015815,           0.0055988,          0.00085842,             0.97199,                   1,               0.995,               0.796,            0.012433,           0.0034486,          0.00041211,             0.00439,             0.00439,             0.00439
                  87,             0.01679,           0.0056227,          0.00079909,                   1,                   1,               0.995,              0.8955,           0.0094168,           0.0018088,          0.00031303,            0.004324,            0.004324,            0.004324
                  88,            0.016489,           0.0056764,          0.00074704,             0.97232,                   1,               0.995,               0.796,            0.012044,           0.0029859,           0.0003337,            0.004258,            0.004258,            0.004258
                  89,            0.015942,           0.0055036,          0.00087262,                   1,                   1,               0.995,               0.796,            0.011693,           0.0036454,          0.00037455,            0.004192,            0.004192,            0.004192
                  90,            0.016427,           0.0052015,          0.00085158,                   1,                   1,               0.995,               0.796,            0.010469,           0.0029344,          0.00042032,            0.004126,            0.004126,            0.004126
                  91,            0.016183,           0.0058623,          0.00080992,                   1,                   1,               0.995,               0.796,              0.0106,           0.0027755,          0.00036087,             0.00406,             0.00406,             0.00406
                  92,            0.015909,           0.0055092,          0.00085545,                   1,                   1,               0.995,              0.8955,           0.0087339,           0.0017622,          0.00033376,            0.003994,            0.003994,            0.003994
                  93,            0.015672,           0.0056797,          0.00072935,             0.97259,                   1,               0.995,               0.796,            0.012231,           0.0025703,          0.00028508,            0.003928,            0.003928,            0.003928
                  94,            0.015548,           0.0053176,          0.00082492,                   1,                   1,               0.995,               0.796,            0.013282,           0.0049968,          0.00035144,            0.003862,            0.003862,            0.003862
                  95,            0.015784,           0.0052193,          0.00074283,              0.9723,                   1,               0.995,              0.8955,             0.01114,           0.0026479,           0.0003938,            0.003796,            0.003796,            0.003796
                  96,            0.015846,           0.0055159,          0.00075186,                   1,                   1,               0.995,               0.796,            0.014097,            0.003679,          0.00041351,             0.00373,             0.00373,             0.00373
                  97,            0.016339,           0.0055797,          0.00076712,                   1,                   1,               0.995,               0.796,            0.012305,           0.0027434,           0.0004233,            0.003664,            0.003664,            0.003664
                  98,            0.015363,           0.0057545,          0.00073968,              0.9719,                   1,               0.995,               0.796,            0.014603,           0.0028621,          0.00033473,            0.003598,            0.003598,            0.003598
                  99,            0.014887,           0.0053821,           0.0006732,             0.97193,                   1,               0.995,               0.796,             0.01407,           0.0033741,           0.0003017,            0.003532,            0.003532,            0.003532
                 100,            0.015113,           0.0054299,          0.00066292,              0.9725,                   1,               0.995,               0.796,            0.010524,           0.0025501,          0.00030573,            0.003466,            0.003466,            0.003466
                 101,            0.015235,           0.0052798,          0.00070916,                   1,                   1,               0.995,               0.796,             0.01202,            0.004297,          0.00033008,              0.0034,              0.0034,              0.0034
                 102,            0.014523,            0.005251,          0.00067419,             0.97292,                   1,               0.995,               0.796,            0.011875,           0.0039768,          0.00030775,            0.003334,            0.003334,            0.003334
                 103,            0.015082,           0.0053007,          0.00062627,              0.9726,                   1,               0.995,               0.796,             0.01107,           0.0034627,          0.00027533,            0.003268,            0.003268,            0.003268
                 104,            0.014234,           0.0050834,          0.00062539,              0.9728,                   1,               0.995,               0.796,            0.011476,           0.0039103,           0.0002608,            0.003202,            0.003202,            0.003202
                 105,            0.015081,           0.0053873,          0.00070594,              0.9731,                   1,               0.995,               0.796,            0.011844,           0.0028216,          0.00025056,            0.003136,            0.003136,            0.003136
                 106,            0.014919,           0.0051198,          0.00074125,              0.9727,                   1,               0.995,               0.796,            0.011117,           0.0026214,          0.00028683,             0.00307,             0.00307,             0.00307
                 107,            0.014525,           0.0054034,          0.00071143,                   1,                   1,               0.995,               0.796,            0.012183,           0.0046206,          0.00037494,            0.003004,            0.003004,            0.003004
                 108,            0.014526,           0.0051641,          0.00069443,             0.97297,                   1,               0.995,               0.796,            0.010843,           0.0036072,          0.00031268,            0.002938,            0.002938,            0.002938
                 109,            0.014316,           0.0052969,          0.00065724,             0.97304,                   1,               0.995,               0.796,            0.011708,           0.0032277,          0.00020374,            0.002872,            0.002872,            0.002872
                 110,            0.014189,           0.0050355,          0.00054197,             0.97334,                   1,               0.995,               0.796,            0.010203,           0.0021939,            0.000182,            0.002806,            0.002806,            0.002806
                 111,            0.014516,           0.0052205,          0.00067853,             0.97345,                   1,               0.995,              0.8955,           0.0092961,           0.0021465,          0.00019378,             0.00274,             0.00274,             0.00274
                 112,            0.013713,           0.0052421,          0.00064851,             0.97325,                   1,               0.995,              0.8955,           0.0093758,           0.0018536,          0.00021037,            0.002674,            0.002674,            0.002674
                 113,            0.013659,           0.0049243,          0.00051607,             0.97306,                   1,               0.995,               0.796,            0.010217,           0.0019431,          0.00021967,            0.002608,            0.002608,            0.002608
                 114,            0.013398,           0.0052048,          0.00049771,                   1,                   1,               0.995,               0.796,            0.011748,           0.0026861,          0.00023398,            0.002542,            0.002542,            0.002542
